"bike","date","type"
108,77,"체인"
210,80,"체인"
35,82,"기타 "
1024,86,"기타 "
1015,101,"기타 "
937,105,"단말기"
608,106,"안장"
1347,110,"안장"
239,123,"단말기"
688,127,"기타 "
857,131,"기타 "
679,131,"체인"
181,134,"단말기"
466,144,"페달"
466,144,"기타 "
1075,149,"타이어 "
1075,149,"체인"
1107,150,"기타 "
373,150,"기타 "
557,160,"기타 "
1151,161,"단말기"
1367,162,"기타 "
791,167,"체인"
657,176,"단말기"
1103,177,"타이어 "
312,177,"체인"
1001,177,"타이어 "
965,181,"체인"
965,181,"파손"
821,183,"기타 "
308,185,"체인"
874,191,"단말기"
639,194,"체인"
639,194,"페달"
656,195,"단말기"
623,195,"체인"
203,198,"타이어 "
203,198,"파손"
753,199,"체인"
753,199,"페달"
482,205,"안장"
1308,214,"체인"
1475,214,"안장"
1475,214,"기타 "
1097,215,"단말기"
289,216,"체인"
289,216,"안장"
32,217,"기타 "
548,217,"체인"
548,217,"파손"
697,220,"체인"
697,220,"기타 "
734,221,"기타 "
1041,221,"기타 "
68,222,"기타 "
273,222,"페달"
273,222,"기타 "
1325,223,"체인"
1325,223,"페달"
1325,223,"기타 "
1319,224,"페달"
1164,226,"잠금장치 불량"
740,228,"기타 "
1169,230,"타이어 "
1207,230,"체인"
465,231,"타이어 "
1212,232,"안장"
1340,233,"기타 "
1191,233,"타이어 "
1920,235,"체인"
700,236,"기타 "
1099,236,"체인"
1099,236,"페달"
1099,236,"기타 "
118,237,"단말기"
1251,238,"기타 "
1543,238,"체인"
689,238,"체인"
1259,239,"단말기"
282,239,"체인"
282,239,"기타 "
1466,241,"타이어 "
753,241,"안장"
1932,242,"체인"
293,242,"기타 "
394,244,"기타 "
1261,244,"타이어 "
1148,244,"기타 "
889,246,"단말기"
1509,246,"기타 "
290,247,"타이어 "
1367,247,"기타 "
582,247,"기타 "
1458,248,"기타 "
1905,248,"체인"
1905,248,"기타 "
1177,249,"기타 "
52,251,"타이어 "
52,251,"기타 "
174,251,"기타 "
1428,252,"타이어 "
413,252,"체인"
171,252,"타이어 "
171,252,"기타 "
1311,253,"기타 "
1161,253,"단말기"
1939,254,"기타 "
1040,255,"기타 "
462,256,"타이어 "
638,257,"단말기"
167,258,"기타 "
167,258,"파손"
1493,258,"기타 "
1850,259,"체인"
1812,260,"타이어 "
1330,260,"체인"
1330,260,"파손"
659,261,"기타 "
496,261,"기타 "
1996,261,"기타 "
1940,262,"체인"
1350,262,"체인"
545,262,"체인"
