자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-09846,2020-01-03 06:51:33,1162,"공항초등학교?풍覺?,8""",2020-01-03 06:56:34,02701,마곡나루역 5번출구 뒤편,8,4,830.0,
SPB-02297,2020-01-03 17:37:10,1428,원묵고등학교,6,2020-01-03 18:00:43,01428,"원묵?玆紵閨?,6""",23,0.0,
SPB-16990,2020-01-03 18:11:04,1986,태평양물산빌딩,5,2020-01-03 18:21:37,01916,"?막适峠閨낼?,2""",10,1570.0,
SPB-12017,2020-01-04 11:38:07,3509,"세종사이?測淪閨?,11""",2020-01-04 11:41:35,03518,군자역 7번출구뒤,7,3,760.0,
SPB-07700,2020-01-10 17:24:40,1984,"구?慣맡?,7""",2020-01-10 17:56:46,02135,신림역 5번출구,2,30,5360.0,
SPB-06502,2020-01-11 03:21:20,2313,금원빌딩 앞,10,2020-01-11 03:58:44,01220,"잠실본동주민센터뒤 ?溯풉摸같貶?,15""",37,5560.0,
SPB-19266,2020-01-12 19:00:11,2610,여흥레이크빌 앞 (석촌호수 까페거리),5,2020-01-12 19:57:49,03534,"건대입구역 5번출구 ??,10""",57,7010.0,
SPB-09231,2020-01-15 01:06:22,1662,노원역7번출구,15,2020-01-15 01:21:27,1666,"노원소방서인??,6""",14,1520.0,
SPB-14029,2020-01-15 20:37:12,933,LG서비스 역촌점,3,2020-01-15 20:40:03,950,"구산역 2번 ?瘦?,4""",2,300.0,
SPB-07617,2020-01-21 21:51:04,1296,석촌호수교차로 (송파나루근린공원 앞),5,2020-01-21 22:55:14,2619,"석촌고분역 4번?瘦?,7""",62,1650.0,
SPB-22274,2020-01-22 22:06:57,3501,광진구청 앞,7,2020-01-22 22:15:00,549,"아차산역 3번출??,4""",7,1420.0,
SPB-04837,2020-01-23 21:31:58,1403,중화빌딩 앞 (동부시장),7,2020-01-23 21:39:43,1449,"상봉역 1?萍瘦?,1""",7,890.0,
SPB-24895,2020-01-23 22:43:48,1287,위례아이파크 101동 맞은편,2,2020-01-23 23:05:49,1201,"가락시장역 3번 ?瘦?,10""",21,3740.0,
SPB-25161,2020-01-31 01:06:26,736,"오솔길?貶?,7""",2020-01-31 01:56:24,01933,개봉푸르지오아파트 상가,1,48,2680.0,
SPB-07766,2020-02-01 13:33:02,1319,"종암사거리 분?測?,2""",2020-02-01 14:10:12,00583,청계천 생태교실 앞,4,36,6010.0,
